asset_id,category,repository_area,local_source,relative_path_or_name,size_original,distribution_status,planned_storage,canonical,url,sha256,notes
spring21k_test_distractors_images,dataset_images,dataset/3.celeba_21k_aligned,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/celeba_21k_aligned,test/distractors/,14.6 MB,NOT_DISTRIBUTED,local dataset / reconstruction,no,,,CelebA-derived aligned distractor images are intentionally absent from Git.
spring21k_test_query_images,dataset_images,dataset/3.celeba_21k_aligned,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/celeba_21k_aligned,test/query/,7.3 MB,NOT_DISTRIBUTED,local dataset / reconstruction,no,,,CelebA-derived aligned query images are intentionally absent from Git.
spring21k_train_images,dataset_images,dataset/3.celeba_21k_aligned,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/celeba_21k_aligned,train/,117.8 MB,NOT_DISTRIBUTED,local dataset / reconstruction,no,,,CelebA-derived aligned training images are intentionally absent from Git.
spring21k_validation_images,dataset_images,dataset/3.celeba_21k_aligned,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/celeba_21k_aligned,validation/,14.7 MB,NOT_DISTRIBUTED,local dataset / reconstruction,no,,,CelebA-derived aligned validation images are intentionally absent from Git.
spring21k_frontend_processing,intermediate_table,dataset/3.celeba_21k_aligned,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/celeba_21k_aligned,../frontend_processing.csv,23.3 MB,LOCAL_ONLY,local archive,no,,,Large intermediate frontend processing table; not required in the public repository.
spring21k_master_manifest,intermediate_manifest,dataset/3.celeba_21k_aligned,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/celeba_21k_aligned,../master_manifest.csv,81.1 MB,LOCAL_ONLY,local archive,no,,,Large internal master manifest; the remastered compact Spring 21k manifest remains in Git.
ce_best,checkpoint,output/4.ce_resnet18_dual_Fall2025_Spring2026_ep21_v1,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/_recognition_runs/ce_resnet18_dual_Fall2025_Spring2026_ep21_v1,best.pt,44 MB,PUBLISH_EXTERNAL,GitHub Release v1.0.0,yes,,6f9d679d49ad4df299c0aa5f2c091ee8d7d6635e5e03e975e2b7217bab7235ec,Canonical Cross-Entropy checkpoint; intended release filename: ce_resnet18_best.pt.
ce_latest,checkpoint,output/4.ce_resnet18_dual_Fall2025_Spring2026_ep21_v1,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/_recognition_runs/ce_resnet18_dual_Fall2025_Spring2026_ep21_v1,latest.pt,44 MB,LOCAL_ONLY,local archive,no,,3749351662c5fe16cfe9e7c6f04437f520e48e23b2eb4134f6ee56365a3f3b1d,Latest CE training-state checkpoint; retained locally.
ce_epoch15_reference,checkpoint,output/4.ce_resnet18_dual_Fall2025_Spring2026_ep21_v1,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/_recognition_runs/ce_resnet18_dual_Fall2025_Spring2026_ep21_v1,epoch_015_reference.pt,44 MB,LOCAL_ONLY,local archive,no,,a9920f3e664d354d4ce69be3db117762b4e7c7b6341ac269439f9904a05da5ef,Reference checkpoint retained locally; not needed for canonical public inference.
arcface_best,checkpoint,output/5.arcface_resnet18_legacyFall2025_sameidval_ep21_ref15_fr10_m0p25,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/_recognition_runs/arcface_resnet18_legacyFall2025_sameidval_ep21_ref15_fr10_m0p25,best.pt,44 MB,PUBLISH_EXTERNAL,GitHub Release v1.0.0,yes,,dea25ee62641011ef560d508aac8ccbca573b91739776d3b508ad05a26c2d1e0,"Canonical ArcFace checkpoint (original best.pt, epoch 5); intended release filename: arcface_resnet18_best.pt."
arcface_latest,checkpoint,output/5.arcface_resnet18_legacyFall2025_sameidval_ep21_ref15_fr10_m0p25,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/_recognition_runs/arcface_resnet18_legacyFall2025_sameidval_ep21_ref15_fr10_m0p25,latest.pt,44 MB,LOCAL_ONLY,local archive,no,,1c2ed3bc86fb89c491892d7e4b2928a68855de21919f9799f1f8d6511568d58f,Latest ArcFace training-state checkpoint; retained locally.
arcface_epoch15_reference,checkpoint,output/5.arcface_resnet18_legacyFall2025_sameidval_ep21_ref15_fr10_m0p25,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/0_align_block_for/out/celeba_wild_21k_frontend_v0_1/_recognition_runs/arcface_resnet18_legacyFall2025_sameidval_ep21_ref15_fr10_m0p25,epoch_015_reference.pt,44 MB,LOCAL_ONLY,local archive,no,,469f2193e9b6b77a341f29569b110f8ed3f9b36fe7503d3ab37b70b33a02b8ff,Predefined full-margin epoch-15 control; downstream verification was worse than canonical best.pt.
pipeline_aligned_faces,derived_images,output/6.dls_fr_task3_output_v32_500,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500,aligned_faces/,542.9 KB,LOCAL_ONLY,local archive,no,,,Derived aligned CelebA faces; excluded despite small size to avoid redistributing image content.
